E, Run #49
X (  )	Y (  )
0,055	0,498
0,155	0,498
0,255	0,494
0,355	0,493
0,455	0,496
0,555	0,504
0,655	0,494
0,755	0,476
0,854	0,485
0,954	0,472
1,054	0,414
1,154	0,453
1,253	0,456
1,353	0,441
1,453	0,431
1,552	0,425
1,652	0,407
1,751	0,392
1,851	0,363
1,951	0,203
2,051	0,072
2,151	0,188
2,251	0,184
2,351	0,187
2,452	0,190
2,552	0,193
2,652	0,196
2,752	0,199
2,852	0,201
2,952	0,204
3,052	0,205
3,152	0,205
3,252	0,205
3,352	0,205
3,452	0,203
3,552	0,201
3,652	0,200
3,752	0,195
3,852	0,191
3,952	0,186
4,051	0,181
4,151	0,174
4,251	0,155
4,351	0,113
4,451	0,053
4,551	0,101
4,651	0,119
4,751	0,123
4,851	0,125
4,951	0,127
5,051	0,129
5,151	0,130
5,251	0,131
5,351	0,131
5,451	0,131
5,551	0,130
5,651	0,128
5,751	0,125
5,851	0,122
5,951	0,119
6,051	0,105
6,151	0,101
6,250	0,045
6,351	0,085
6,451	0,088
6,551	0,099
6,651	0,101
6,751	0,103
6,851	0,105
6,951	0,106
7,051	0,106
7,151	0,105
7,251	0,104
7,351	0,103
7,451	0,101
7,551	0,098
7,651	0,083
7,751	0,074
7,851	0,050
7,951	0,078
8,051	0,079
8,151	0,087
8,251	0,090
8,351	0,091
8,451	0,092
8,551	0,092
8,651	0,092
8,751	0,090
8,851	0,089
8,951	0,086
9,051	0,075
9,151	0,077
9,250	0,048
9,351	0,071
9,451	0,072
9,551	0,079
9,651	0,081
9,751	0,082
9,851	0,082
9,951	0,082
10,051	0,081
10,151	0,080
10,251	0,074
10,351	0,071
10,451	0,062
10,551	0,051
10,651	0,067
10,751	0,068
