T, Run #51
Time ( s )	Y (  )
0,0555	0,006
0,1554	1,145E-5
0,2554	0,015
0,3552	0,027
0,4551	0,046
0,5549	0,063
0,6571	24,962
0,7568	37,741
0,8541	0,119
0,9537	0,164
1,0534	0,193
1,1530	0,224
1,2525	0,237
1,3521	0,295
1,4516	0,330
1,5511	0,358
1,6506	0,136
1,7505	0,015
1,8508	0,153
1,9511	0,123
2,0514	0,102
2,1517	0,074
2,2519	0,058
2,3521	0,037
2,4522	0,022
2,5523	0,012
2,6524	0,007
2,7525	5,878E-4
2,8525	0,000
2,9525	0,003
3,0524	0,007
3,1523	0,013
3,2522	0,029
3,3520	0,042
3,4518	0,063
3,5516	0,079
3,6513	0,103
3,7510	0,123
3,8507	0,148
3,9505	0,012
4,0505	0,045
4,1507	0,041
4,2509	0,022
4,3510	0,009
4,4510	0,004
4,5511	1,831E-4
4,6511	6,160E-4
4,7510	0,005
4,8509	0,010
4,9508	0,020
5,0507	0,032
5,1505	0,045
5,2504	0,000
5,3505	0,030
5,4506	0,019
5,5507	0,010
5,6508	0,003
5,7508	3,894E-4
5,8508	3,464E-4
5,9508	0,003
6,0507	0,009
6,1506	0,018
6,2505	0,029
6,3504	5,375E-5
6,4505	0,020
6,5506	0,013
6,6507	0,006
6,7507	0,002
6,8508	0,000
6,9507	0,002
7,0507	0,006
7,1506	0,014
7,2505	0,020
7,3504	3,848E-5
7,4505	0,018
7,5506	0,009
7,6507	0,003
7,7507	3,462E-4
7,8507	4,594E-4
7,9507	0,004
8,0506	0,010
8,1505	0,018
8,2504	0,000
8,3505	0,015
8,4506	0,008
8,5506	0,002
8,6507	9,189E-5
8,7507	8,938E-4
8,8506	0,005
8,9505	0,012
9,0505	0,004
9,1505	0,004
9,2505	0,009
9,3506	0,003
9,4506	3,256E-4
9,5506	4,355E-4
9,6506	0,004
9,7505	0,010
9,8505	0,002
9,9505	0,003
10,0505	0,007
