U, Run #49
Time ( s )	Y (  )
0,0055	0,391
0,1055	0,390
0,2054	0,386
0,3054	0,383
0,4053	0,378
0,5052	0,369
0,6050	0,356
0,7048	0,342
0,8046	0,328
0,9044	0,311
1,0041	0,292
1,1039	0,278
1,2036	0,257
1,3033	0,233
1,4029	0,208
1,5025	0,181
1,6021	0,152
1,7017	0,122
1,8013	0,090
1,9008	0,057
2,0005	0,033
2,1006	0,043
2,2009	0,065
2,3012	0,084
2,4014	0,100
2,5016	0,115
2,6018	0,127
2,7019	0,138
2,8020	0,146
2,9021	0,152
3,0022	0,158
3,1022	0,160
3,2023	0,161
3,3022	0,160
3,4022	0,157
3,5021	0,153
3,6020	0,146
3,7019	0,137
3,8018	0,127
3,9016	0,115
4,0014	0,101
4,1012	0,085
4,2009	0,068
4,3007	0,050
4,4005	0,034
4,5006	0,039
4,6007	0,052
4,7009	0,066
4,8011	0,077
4,9012	0,086
5,0013	0,093
5,1014	0,098
5,2014	0,102
5,3014	0,103
5,4014	0,103
5,5014	0,100
5,6013	0,096
5,7013	0,090
5,8011	0,082
5,9010	0,072
6,0008	0,061
6,1007	0,049
6,2005	0,035
6,3005	0,035
6,4007	0,047
6,5008	0,056
6,6009	0,065
6,7010	0,073
6,8011	0,078
6,9011	0,082
7,0012	0,083
7,1012	0,083
7,2011	0,081
7,3011	0,077
7,4010	0,071
7,5009	0,063
7,6007	0,053
7,7006	0,044
7,8005	0,034
7,9005	0,038
8,0007	0,048
8,1008	0,055
8,2009	0,062
8,3009	0,067
8,4010	0,071
8,5010	0,072
8,6010	0,072
8,7010	0,069
8,8009	0,065
8,9008	0,059
9,0007	0,051
9,1006	0,044
9,2005	0,033
9,3005	0,037
9,4006	0,046
9,5007	0,052
9,6008	0,058
9,7009	0,062
9,8009	0,064
9,9009	0,065
10,0009	0,063
10,1008	0,060
10,2008	0,055
10,3007	0,049
10,4006	0,042
10,5005	0,034
10,6005	0,039
10,7006	0,046
10,8007	0,051
