E, Run #1
t (s)	T (K)	URT (V)	URN (V)
0,0	296,45	-0,40	0,80
30,0	296,45	-0,39	0,81
60,0	296,55	-0,39	0,81
90,0	296,65	-0,39	0,80
120,0	297,65	-0,41	0,77
150,0	298,85	-0,42	0,75
180,0	300,35	-0,44	0,72
210,0	301,15	-0,45	0,71
240,0	303,05	-0,47	0,67
270,0	305,05	-0,49	0,64
300,0	307,15	-0,50	0,62
330,0	309,35	-0,52	0,59
360,0	311,65	-0,54	0,56
390,0	313,95	-0,55	0,53
420,0	316,25	-0,57	0,51
450,0	318,45	-0,59	0,49
480,0	320,55	-0,60	0,47
510,0	322,65	-0,61	0,46
540,0	324,55	-0,62	0,44
570,0	326,45	-0,63	0,42
600,0	328,15	-0,64	0,41
630,0	329,85	-0,65	0,40
660,0	331,45	-0,66	0,38
690,0	333,25	-0,66	0,37
